mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6652397155761719,0.09306435184272019,0.2988464832305908,0.11355169938585627,5,sqrt,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 50}",0.8321678321678322,0.8531468531468531,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.02049835252709947,3
1.1751431465148925,0.12189571607186835,0.4269390106201172,0.09945668208093791,5,sqrt,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}",0.8251748251748252,0.8601398601398601,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.022325453885913192,3
1.5299567222595214,0.061560089449864554,0.31114773750305175,0.0877000005512592,5,sqrt,150,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 150}",0.8321678321678322,0.8601398601398601,0.8169014084507042,0.8028169014084507,0.8450704225352113,0.8314192849404117,0.020202229589086403,1
0.6154253959655762,0.07785384185980496,0.26245594024658203,0.10879529664376524,5,log2,50,"{'clf__max_depth': 5, 'clf__max_features': 'log2', 'clf__n_estimators': 50}",0.8321678321678322,0.8531468531468531,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.02049835252709947,3
1.1009486198425293,0.28520327705257953,0.663330078125,0.3830091500715225,5,log2,100,"{'clf__max_depth': 5, 'clf__max_features': 'log2', 'clf__n_estimators': 100}",0.8251748251748252,0.8601398601398601,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.022325453885913192,3
2.4673489570617675,0.23103472925262003,1.094396209716797,0.455989756036696,5,log2,150,"{'clf__max_depth': 5, 'clf__max_features': 'log2', 'clf__n_estimators': 150}",0.8321678321678322,0.8601398601398601,0.8169014084507042,0.8028169014084507,0.8450704225352113,0.8314192849404117,0.020202229589086403,1
0.7858693122863769,0.16791259182679538,0.24526944160461425,0.022061730598953378,10,sqrt,50,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 50}",0.8181818181818182,0.8111888111888111,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8160149709445484,0.013586937720467549,11
1.2740161418914795,0.16638220353585376,0.9294319152832031,0.2835311924139275,10,sqrt,100,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}",0.8251748251748252,0.8251748251748252,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8202107751403528,0.013962946200239803,7
2.173237133026123,0.3623335791633339,0.9283770084381103,0.3366237261387027,10,sqrt,150,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 150}",0.8251748251748252,0.8251748251748252,0.8028169014084507,0.8028169014084507,0.8380281690140845,0.8188023244361272,0.01387024246228393,9
0.8020462989807129,0.1898034831470799,0.5215484142303467,0.2844250864278543,10,log2,50,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__n_estimators': 50}",0.8181818181818182,0.8111888111888111,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8160149709445484,0.013586937720467549,11
1.1764497756958008,0.22582429035167678,0.6699024200439453,0.15684276217577614,10,log2,100,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__n_estimators': 100}",0.8251748251748252,0.8251748251748252,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8202107751403528,0.013962946200239803,7
1.5729246139526367,0.18881082774855415,0.47573075294494627,0.10289947436366464,10,log2,150,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__n_estimators': 150}",0.8251748251748252,0.8251748251748252,0.8028169014084507,0.8028169014084507,0.8380281690140845,0.8188023244361272,0.01387024246228393,9
0.7330493450164794,0.0885382306442668,0.4593521595001221,0.17790600145413882,15,sqrt,50,"{'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__n_estimators': 50}",0.8041958041958042,0.7832167832167832,0.8028169014084507,0.7887323943661971,0.823943661971831,0.8005811090318133,0.014182986418895325,17
1.1707443237304687,0.12674208677936946,0.4045609951019287,0.12910955142641892,15,sqrt,100,"{'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}",0.8111888111888111,0.7762237762237763,0.795774647887324,0.795774647887324,0.8309859154929577,0.8019895597360387,0.01825672880364121,15
2.944778394699097,0.7705148143617406,1.818502950668335,0.8879227584785708,15,sqrt,150,"{'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__n_estimators': 150}",0.7972027972027972,0.7902097902097902,0.795774647887324,0.8028169014084507,0.8380281690140845,0.8048064611444893,0.017088548095975705,13
1.8039117813110352,0.10842409389221874,0.9062931060791015,0.0924564447493608,15,log2,50,"{'clf__max_depth': 15, 'clf__max_features': 'log2', 'clf__n_estimators': 50}",0.8041958041958042,0.7832167832167832,0.8028169014084507,0.7887323943661971,0.823943661971831,0.8005811090318133,0.014182986418895325,17
2.210433101654053,0.24060021057133382,0.904939079284668,0.26798897446645326,15,log2,100,"{'clf__max_depth': 15, 'clf__max_features': 'log2', 'clf__n_estimators': 100}",0.8111888111888111,0.7762237762237763,0.795774647887324,0.795774647887324,0.8309859154929577,0.8019895597360387,0.01825672880364121,15
