mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6761501789093017,0.1361276584512123,0.17682032585144042,0.014635488539895774,5,sqrt,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 50}",0.8321678321678322,0.8531468531468531,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.02049835252709947,3
0.9189794063568115,0.1424072438975367,0.26023063659667967,0.046751082677278157,5,sqrt,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}",0.8251748251748252,0.8601398601398601,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.022325453885913192,3
1.3682971954345704,0.11654609815848138,0.2977780342102051,0.07516603887458422,5,sqrt,150,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 150}",0.8321678321678322,0.8601398601398601,0.8169014084507042,0.8028169014084507,0.8450704225352113,0.8314192849404117,0.020202229589086403,1
0.6107261180877686,0.06314335252388613,0.19649872779846192,0.019996616515259687,5,log2,50,"{'clf__max_depth': 5, 'clf__max_features': 'log2', 'clf__n_estimators': 50}",0.8321678321678322,0.8531468531468531,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.02049835252709947,3
0.918294095993042,0.09302155006969619,0.21811127662658691,0.048063447851556924,5,log2,100,"{'clf__max_depth': 5, 'clf__max_features': 'log2', 'clf__n_estimators': 100}",0.8251748251748252,0.8601398601398601,0.8169014084507042,0.795774647887324,0.8450704225352113,0.828612232837585,0.022325453885913192,3
1.3793717861175536,0.12623795981206512,0.25639095306396487,0.0760219235565258,5,log2,150,"{'clf__max_depth': 5, 'clf__max_features': 'log2', 'clf__n_estimators': 150}",0.8321678321678322,0.8601398601398601,0.8169014084507042,0.8028169014084507,0.8450704225352113,0.8314192849404117,0.020202229589086403,1
0.6264037609100341,0.06087617877671365,0.17020530700683595,0.05425471336125178,10,sqrt,50,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 50}",0.8181818181818182,0.8111888111888111,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8160149709445484,0.013586937720467549,11
0.9428765296936035,0.10249567942684526,0.3500385284423828,0.030774432408950142,10,sqrt,100,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}",0.8251748251748252,0.8251748251748252,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8202107751403528,0.013962946200239803,7
1.361747932434082,0.13836408315330836,0.281602144241333,0.033249371498234814,10,sqrt,150,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__n_estimators': 150}",0.8251748251748252,0.8251748251748252,0.8028169014084507,0.8028169014084507,0.8380281690140845,0.8188023244361272,0.01387024246228393,9
0.6444613933563232,0.16456084800932735,0.19612364768981932,0.027068681130861,10,log2,50,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__n_estimators': 50}",0.8181818181818182,0.8111888111888111,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8160149709445484,0.013586937720467549,11
0.9255824565887452,0.1366044136434851,0.35749640464782717,0.16136836675848915,10,log2,100,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__n_estimators': 100}",0.8251748251748252,0.8251748251748252,0.795774647887324,0.8169014084507042,0.8380281690140845,0.8202107751403528,0.013962946200239803,7
1.2147173881530762,0.12049424506196704,0.2582144260406494,0.0355990529189682,10,log2,150,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__n_estimators': 150}",0.8251748251748252,0.8251748251748252,0.8028169014084507,0.8028169014084507,0.8380281690140845,0.8188023244361272,0.01387024246228393,9
0.6121128559112549,0.12057998805050242,0.196636962890625,0.02296029266386441,15,sqrt,50,"{'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__n_estimators': 50}",0.8041958041958042,0.7832167832167832,0.8028169014084507,0.7887323943661971,0.823943661971831,0.8005811090318133,0.014182986418895325,17
0.9084518432617188,0.03272105759441753,0.23698639869689941,0.03437070296340497,15,sqrt,100,"{'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}",0.8111888111888111,0.7762237762237763,0.795774647887324,0.795774647887324,0.8309859154929577,0.8019895597360387,0.01825672880364121,15
1.2724294662475586,0.13096017609208288,0.2740633010864258,0.03844653541806199,15,sqrt,150,"{'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__n_estimators': 150}",0.7972027972027972,0.7902097902097902,0.795774647887324,0.8028169014084507,0.8380281690140845,0.8048064611444893,0.017088548095975705,13
0.6040925979614258,0.04443318247835043,0.22655439376831055,0.04721900221187203,15,log2,50,"{'clf__max_depth': 15, 'clf__max_features': 'log2', 'clf__n_estimators': 50}",0.8041958041958042,0.7832167832167832,0.8028169014084507,0.7887323943661971,0.823943661971831,0.8005811090318133,0.014182986418895325,17
0.9267100334167481,0.0964542421523904,0.2552956581115723,0.08128011463804004,15,log2,100,"{'clf__max_depth': 15, 'clf__max_features': 'log2', 'clf__n_estimators': 100}",0.8111888111888111,0.7762237762237763,0.795774647887324,0.795774647887324,0.8309859154929577,0.8019895597360387,0.01825672880364121,15
